metro,chas,dva_chasa,noch,ves,rost,vozrast,razmer,vpopu
Проспект Мира,5000,10000,30000,47,171,36,2,0
Бульвар Дмитрия Донского,6000,10000,25000,59,170,32,3,0
Белорусская,10000,20000,-,68,175,26,2,5000
Ленинский проспект,6000,10000,50000,50,175,33,5,3000
Люблино,2000,4000,10000,53,176,25,3,0
Ногинск,3000,5000,16000,46,166,19,1,0
Пушкино,2500,5000,17000,64,167,20,3,0
Академическая,3000,-,-,n/a,170,35,1,0
ВДНХ,5000,10000,20000,74,170,28,5,3000
Беговая,30000,45000,150000,49,160,23,2,1
Академическая,3000,6000,-,50,162,31,2,0
Ленинский проспект,3500,-,-,n/a,168,30,2,0
Динамо,2000,4000,10000,43,165,20,2,0
Сокольники,-,8000,16000,55,170,24,2,0
Каховская,7000,12000,35000,50,170,21,3,0
Химки,3000,6000,15000,62,170,40,3,2000
Академическая,2500,5000,13000,51,155,35,1,0
Кутузовская,3000,4500,8000,50,175,19,2,0
Кузьминки,3000,4500,8000,57,179,20,4,0
Кузьминки,4000,8000,20000,50,165,25,2,3000
Павелецкая,6000,12000,30000,60,170,25,3,1
Улица 1905 го1,15000,30000,100000,56,178,25,3,1
Университет,5000,10000,25000,50,167,26,2,0
Московский,3000,5000,8500,50,160,21,5,0
Молодежная,7000,14000,42000,47,165,21,2,1
Раменское,3500,4500,8000,50,165,22,5,0
Подольск,2000,4000,10000,57,160,20,4,0
Выхино,3500,4500,8000,50,160,21,4,0
Подольск,4000,-,-,57,164,27,3,0
Аэропорт,6000,12000,30000,66,168,25,4,0
Варшавская,5000,-,-,55,165,27,3,0
Китай-город,3000,4500,8000,49,160,21,2,0
Новослободская,5000,10000,25000,48,167,45,2,0
Красногорск,3000,6000,20000,55,170,20,2,0
Водный стадион,-,10000,30000,57,175,27,3,0
Беляево,3000,4500,8000,50,160,19,3,0
Марксистская,10000,15000,-,50,150,27,2,1
Университет,4000,6000,10000,65,167,50,7,1
Войковская,5000,9000,20000,n/a,175,27,2,1
Профсоюзная,2500,5000,-,55,165,33,2,0
Щелковская,-,7000,15000,66,180,28,1,0
Октябрьское поле,2000,5000,15000,70,167,25,5,4000
Выхино,5000,8000,16000,62,162,23,3,0
Люблино,2000,4000,10000,70,170,30,2,0
Тульская,2000,4000,10000,55,170,21,2,0
Белорусская,6000,12000,30000,45,152,18,1,0
Щелковская,2500,5000,12000,61,168,28,2,1
Планерная,2500,5000,12000,80,179,45,5,0
Алексеевская,5000,10000,25000,58,169,37,2,2000
ВДНХ,5000,10000,35000,50,165,21,2,6000
Тушинская,10000,18000,50000,60,176,32,3,1
Киевская,6000,12000,25000,72,174,25,4,9000
Подольск,3000,6000,15000,67,165,25,4,0
Лермонтовский проспект,2500,5000,15000,89,162,43,4,0
Аэропорт,3000,6000,12000,50,150,28,3,0
Воробьевы горы,5000,10000,25000,48,168,19,1,0
Кутузовская,5000,10000,-,55,175,19,2,0
Дмитровская,-,10000,20000,50,175,25,4,0
Павелецкая,12000,24000,50000,60,175,26,4,1
Люблино,4000,8000,20000,50,168,23,2,3500
Октябрьское поле,3000,6000,12000,55,165,35,2,1
Мытищи,12000,20000,40000,58,170,25,3,3000
Новогиреево,2500,5000,12000,64,170,39,4,1
Новогиреево,2500,5000,12000,59,170,28,2,1
Кузьминки,3000,6000,-,56,176,23,2,0
Таганская,1500,3000,9000,60,160,30,3,0
Новогиреево,3000,6000,15000,55,152,26,3,1
Сокол,15000,25000,75000,55,173,29,3,0
Достоевская,20000,30000,75000,50,160,28,4,0
Войковская,2500,4500,10000,55,166,29,2,1
Рязанский проспект,4000,6000,18000,53,175,38,2,1
Мытищи,5000,10000,30000,54,168,35,2,2000
Королёв,3000,4000,8000,48,150,19,3,0
Беляево,3000,5000,15000,65,170,45,5,1500
Таганская,1500,3000,9000,60,165,22,4,0
Аэропорт,4000,8000,25000,56,170,37,2,3000
Проспект Мира,5000,10000,45000,80,180,39,5,3000
Пролетарская,8000,15000,40000,48,165,27,3,0
Павелецкая,10000,20000,50000,51,160,29,3,0
Профсоюзная,3000,6000,12000,53,160,40,2,1
Мытищи,8000,15000,40000,55,167,27,3,5000
Проспект Вернадского,2500,5000,-,50,165,29,2,0
Алексеевская,5000,9000,25000,59,169,39,2,2000
Мытищи,3500,5000,8000,55,150,21,3,0
Люблино,4000,8000,20000,50,170,23,2,1
Видное,3500,5000,8000,50,167,20,4,0
Алексеевская,7000,12000,30000,57,175,39,2,3000
Черкизовская,-,6000,12000,57,167,35,3,0
ВДНХ,3000,4500,8000,42,154,19,5,0
Бульвар Дмитрия Донского,4000,8000,16000,60,175,30,1,1
Смоленская,8000,16000,40000,57,170,21,3,0
Савеловская,5000,10000,40000,60,177,40,3,0
Сокольники,2000,5000,-,47,168,28,1,1
Щелковская,2000,4000,-,50,170,27,2,1
Октябрьская,6000,10000,35000,73,173,36,5,3000
Щелковская,-,7000,15000,50,180,28,2,1
Мытищи,3500,5000,8000,48,160,21,5,0
ВДНХ,7000,12000,30000,55,168,24,4,3000
Подольск,2000,4000,12000,60,160,26,3,0
Аэропорт,3000,6000,12000,50,165,25,2,0
Тульская,1500,3000,8000,100,165,40,10,0
Каховская,2000,4000,10000,55,180,27,3,0
Щелковская,-,7000,15000,50,170,25,2,0
Щелковская,-,7000,15000,50,168,27,3,0
Дмитровская,3000,6000,12500,70,172,30,3,1
Белорусская,3000,6000,12500,60,172,25,3,1
Академическая,-,6000,12000,50,168,19,3,0
Люберцы,3500,4500,7000,48,165,20,5,0
Теплый стан,3000,4500,8000,52,166,20,2,3000
Павелецкая,8000,16000,40000,51,170,23,2,0
Водный стадион,-,-,-,50,166,21,2,0
Тушинская,4000,5000,15000,56,163,23,3,0
Подольск,4000,8000,20000,51,163,26,2,1
Юго-Западная,3500,5000,8000,48,150,21,5,0
Выхино,7000,10000,25000,49,160,27,1,0
Шипиловская,2000,4000,10000,50,176,27,1,1
Выхино,3000,6000,15000,53,160,50,3,1000
Маяковская,5000,10000,25000,52,168,26,2,0
Ясенево,3500,5000,8000,55,168,20,2,0
Тверская,15000,20000,50000,50,170,26,3,0
Рязанский проспект,3000,4500,8000,50,158,20,3,0
Беговая,7000,12000,35000,44,165,25,2,0
Пражская,2500,-,-,60,172,41,3,0
